character,jp_dialogue,en_dialogue,route,act,game
<fix123>,"　　The deserted shrine on a summer day.<fix123>　　The sun had come back from its vacation,<fix123>　　and the shrine was enjoying long absent sunny days.<fix123><fix123>　　With no humans in sight, one could hear only the cicadas...<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Ah, this is how summer should be.<fix123><c$$12345678""> You wouldn't even be able to get any sunflower oil if it stayed that gloomy.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Now, it'd be even better if people would actually visit the shrine...""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$???:$12345678> ""Quite.<fix123><c$$12345678""> Not much of a business without any customers, is it now?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""You don't fall under 'people.'<fix123><c$$12345678""> It might be a bit better without your kind around.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Oh my, how rude.<fix123><c$$12345678""> Even without me around, no human would<fix123><fix123><c$$12345678""> bother visiting a place as remote as this.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Anyhow, aren't you supposed to be weak against sunlight?<fix123><c$$12345678""> Just turn to ash already.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""I brought my parasol.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""That's all you need?<fix123><c$$12345678""> ...What was the point of all that mist, then? (^^;""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Hey, cut it out!<fix123><c$$12345678""> The sun will shine on me!""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""You could use a little time in the sun, don't you think?<fix123><c$$12345678""> You look sickly pale.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""It'll vaporize me before it tans me.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Inhaling some of that vapor would<fix123><c$$12345678""> turn you immortal, by the way.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""...I think I'll pass.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Won't you?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""I'll settle for just 20 years' worth or so.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Ugh...""<fix123>",,Reimu,Endings,Th06
<fix123>,"　　It seemed as if this peaceful summertime would never pass.<fix123>　　This eternal shrine, too, seemingly stayed unchanged.<fix123>",,Reimu,Endings,Th06
<fix123>,　　Ending No. 3<fix123>,,Reimu,Endings,Th06
<fix123>,"　　The deserted shrine on a summer day.<fix123>　　The sun had come back from its vacation,<fix123>　　and the shrine was enjoying long absent sunny days.<fix123><fix123>　　With no humans in sight, one could hear only the cicadas...<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Ahh, it sure is much hotter today...<fix123><c$$12345678""> I won't be able to get any work done!""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""...Then again, it's not like there's<fix123><c$$12345678""> any work to do with nobody around.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$???:$12345678> ""If you're feeling hot and bored,<fix123><c$$12345678""> let's tell each other ghost stories!""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Ehh, that's pointless if I'm alone.<fix123>",,Reimu,Endings,Th06
