"CHARACTER","EN_DIALOGUE","ROUTE","ACT","GAME"
"Marisa","""Well, come on, if this place becomes more like a
shrine, we could have festivals.""
","Marisa","Endings","Mountain_of_Faith"
"Marisa","""So the faithless can't understand faith, huh...
","Marisa","Endings","Mountain_of_Faith"
"Marisa","Well then, let's try building up some faith.
","Marisa","Endings","Mountain_of_Faith"
"Marisa","I think I'll try making my own little shrine...""
","Marisa","Endings","Mountain_of_Faith"
"Marisa","""..Hm, but what will I put inside the shrine?
","Marisa","Endings","Mountain_of_Faith"
"Marisa","I've never seen the insides of the Hakurei Shrine...
","Marisa","Endings","Mountain_of_Faith"
"Marisa","Since it is the place where a god lives,
","Marisa","Endings","Mountain_of_Faith"
"Marisa","Maybe I should put in a little cushion or something.
","Marisa","Endings","Mountain_of_Faith"
"Marisa","I guess that god I just met could live in here.""
","Marisa","Endings","Mountain_of_Faith"
"Kanako","""Excuse me!?""","Marisa","Endings","Mountain_of_Faith"
"Marisa","""Woah!""","Marisa","Endings","Mountain_of_Faith"
"Kanako","""Don't use such a filthy cushion in there!""","Marisa","Endings","Mountain_of_Faith"
"Marisa","""Where'd you come from?""","Marisa","Endings","Mountain_of_Faith"
"Kanako","""If you bestow my name on a shrine, it'll become a
branch shrine I can visit whenever I wish.
","Marisa","Endings","Mountain_of_Faith"
"Nitori","""Let you?
","Marisa","Endings","Mountain_of_Faith"
"Nitori","Don't you mean you forced your way in?""
","Marisa","Endings","Mountain_of_Faith"
"Marisa","""You must've known I was trying to go against a god!""","Marisa","Endings","Mountain_of_Faith"
"Nitori","""You'd need a reason like that to get up the mountain.
","Marisa","Endings","Mountain_of_Faith"
"Nitori","But you got that one from me for free last time.""
","Marisa","Endings","Mountain_of_Faith"
"Marisa","""Well, see? It's the same this time, so...""","Marisa","Endings","Mountain_of_Faith"
"Nitori","""But there's no reason to fight her now.""","Marisa","Endings","Mountain_of_Faith"
"Marisa","""But I didn't totally beat her, you know?""","Marisa","Endings","Mountain_of_Faith"
"Nitori","""You don't need to fight Lady Yasaka anymore.
","Marisa","Endings","Mountain_of_Faith"
